,idtramo,transito (vh/h),des_tramo,coordinates,color
332,B45,130,FRAY PEDRO VIVES,"[[-0.3748502717, 39.4865121182], [-0.3727678003, 39.4867544141], [-0.3727184189, 39.4867594866], [-0.3726688312, 39.4867632482], [-0.3726191193, 39.4867656736], [-0.3725693291, 39.4867667819], [-0.3725195075, 39.4867665652], [-0.372469736, 39.4867650164], [-0.37242006120000004, 39.4867621364], [-0.3723705404, 39.4867579446], [-0.3723212321, 39.4867524333], [-0.3722721943, 39.4867456037], [-0.3722234958, 39.4867374846], [-0.37217519530000004, 39.4867280592], [-0.3721273263, 39.4867173643], [-0.3720799704, 39.4867053927], [-0.3720331615, 39.4866921722], [-0.3719869809, 39.4866777047], [-0.37194146240000003, 39.4866620179], [-0.3718966635, 39.4866451312], [-0.3718526535, 39.4866270552], [-0.37180945460000003, 39.4866078174], [-0.37176714710000003, 39.4865874465], [-0.3717257652, 39.4865659615], [-0.37168536620000003, 39.4865433816], [-0.3716459841, 39.4865197347], [-0.3716076756, 39.486495058], [-0.371570498, 39.4864693708], [-0.3715344732, 39.4864427098], [-0.371511861, 39.4864247933], [-0.3714900622, 39.4864062737], [-0.3714690982, 39.4863871963], [-0.371449004, 39.4863675621], [-0.37142977800000004, 39.486347407], [-0.37141146620000004, 39.48632675], [-0.3713940908, 39.4863056188], [-0.3713776506, 39.4862840402], [-0.3713036772, 39.4861790362], [-0.3712341315, 39.4860722314], [-0.371169091, 39.4859637358], [-0.371108621, 39.4858536589], [-0.3710527984, 39.4857421286], [-0.3710016537, 39.4856292537], [-0.37095525220000003, 39.4855151528], [-0.37091364730000004, 39.4853999532], [-0.37087688100000005, 39.485283773], [-0.37086588540000004, 39.4852411289]]","(0, 255, 0)"
333,B63,126,JOSÉ GROLLO,"[[-0.3902938535, 39.49058793], [-0.3897377542, 39.4903060671], [-0.3885029343, 39.4893009035], [-0.3882200766, 39.4891560089], [-0.3879481269, 39.488971648]]","(0, 255, 0)"
334,B64,150,JOSÉ MAESTRE,"[[-0.4038689153, 39.4659747589], [-0.403539684, 39.4636619962]]","(0, 255, 0)"
335,B65,1,JUAN GINER,"[[-0.35937184920000004, 39.484622117], [-0.35966749670000003, 39.4840085013]]","(0, 255, 0)"
336,B68,36,LLOMBAY,"[[-0.4037866668, 39.4653969593], [-0.4059156054, 39.4657757363]]","(0, 255, 0)"
337,B69,216,MARVÀ,"[[-0.3837860442, 39.4636811186], [-0.38515614000000004, 39.46416416]]","(0, 255, 0)"
338,B7,240,ANDREU ALABARTA,"[[-0.40416260730000003, 39.4503324772], [-0.406949526, 39.4543160819]]","(0, 255, 0)"
339,B72,60,MINISTRO LUIS MAYANS,"[[-0.371281521, 39.4871611215], [-0.3721717872, 39.4852155895]]","(0, 255, 0)"
340,B73,216,MÚSICO AYLLON,"[[-0.4047480775, 39.4670108806], [-0.4060798082, 39.4672596624]]","(0, 255, 0)"
341,B74,317,MÚSICO GINÉS,"[[-0.3436817, 39.4690645208], [-0.3421418182, 39.4723486757]]","(0, 255, 0)"
342,B75,252,OLTA,"[[-0.37472196750000003, 39.4529789958], [-0.37588375560000004, 39.4525564312], [-0.3786657594, 39.4527427747]]","(0, 255, 0)"
343,A140,900,JESUS,"[[-0.3826743034, 39.4670347962], [-0.3812294745, 39.4687058307]]","(255, 165, 0)"
