,idtramo,transito (vh/h),des_tramo,coordinates,color
50,A229,90,SANGRE-GARRIGUES,"[[-0.3796618399, 39.4707968332], [-0.3768564983, 39.4701977729]]","(0, 255, 0)"
51,A23,174,ANTONIO JUAN Y PINTOR FERRANDI,"[[-0.334035069, 39.472756545], [-0.3319435645, 39.4723908417], [-0.3309721887, 39.4720508333], [-0.32985209530000004, 39.4720251107], [-0.3276572517, 39.4718514004], [-0.325604581, 39.471847456]]","(0, 255, 0)"
52,A230,792,SANTOS JUSTO Y PASTOR,"[[-0.34942850870000003, 39.4700326076], [-0.3543783854, 39.4714782665]]","(255, 165, 0)"
53,A231,502,SANTOS JUSTO Y PASTOR,"[[-0.3393899446, 39.4670999625], [-0.34942850870000003, 39.4700326076]]","(255, 165, 0)"
54,A233,3034,SERRERIA,"[[-0.3386535938, 39.4618165315], [-0.3383720197, 39.4620298967], [-0.33809973660000003, 39.4622504017], [-0.3378370564, 39.4624777925], [-0.3375842673, 39.4627118235], [-0.3373416468, 39.4629522309], [-0.3371094719, 39.4631987598], [-0.3368879856, 39.4634511366], [-0.336677443, 39.4637090699], [-0.336478064, 39.4639722855], [-0.3362900688, 39.464240491300004], [-0.3361136897, 39.4645133953], [-0.3359491012, 39.4647906863], [-0.3357964894, 39.4650720624], [-0.3356560173, 39.4653572119], [-0.3355278365, 39.4656458231], [-0.3354121103, 39.4659375755]]","(255, 0, 0)"
55,A234,1941,SERRERIA,"[[-0.3345175973, 39.4701209731], [-0.33334878230000003, 39.4763836862]]","(255, 165, 0)"
56,A235,2952,SERRERIA Entre Santos Justo y Pastor y Blasco Ibáñez,"[[-0.3354121103, 39.4659375755], [-0.3353052318, 39.4662435393], [-0.3352120348, 39.4665521769], [-0.3351326381, 39.4668631218], [-0.3350671259, 39.4671759976], [-0.3345175973, 39.4701209731]]","(255, 0, 0)"
57,A236,432,SORNÍ,"[[-0.3649187468, 39.4702007897], [-0.3704008573, 39.470313076]]","(0, 255, 0)"
58,A237,390,"SUECIA, AVENIDA","[[-0.3600831387, 39.4730431078], [-0.3581480566, 39.477023492]]","(0, 255, 0)"
59,A238,1656,"TETUAN, PLAZA","[[-0.3694668888, 39.475740208], [-0.36975805770000003, 39.4739013767]]","(255, 165, 0)"
60,A239,2304,TIRSO DE MOLINA,"[[-0.3968628496, 39.4765059475], [-0.3948741854, 39.4773745703]]","(255, 0, 0)"
61,A24,1,ARCHIDUQUE CARLOS,"[[-0.3973058545, 39.4627813099], [-0.3960143766, 39.463945492]]","(0, 255, 0)"
62,A29,4379,AUSIAS MARCH,"[[-0.3688854723, 39.4461937452], [-0.3688976594, 39.4463514591], [-0.3689169617, 39.4465087576], [-0.3689433867, 39.4466654425], [-0.3689768728, 39.4468212963], [-0.36901740310000003, 39.4469761564], [-0.3690649157, 39.4471298142], [-0.3691193481, 39.4472820791], [-0.3691806372, 39.4474327785], [-0.3692487091, 39.4475817125], [-0.3693234892, 39.4477287083], [-0.3694048683, 39.4478735741], [-0.36949274860000003, 39.4480161366], [-0.36958703200000004, 39.4481562224], [-0.3710122887, 39.4501860662]]","(255, 0, 0)"
63,A290,1,SAN JOSÉ DE CALASANZ,"[[-0.3836747414, 39.4658776645], [-0.3901029326, 39.4670354974]]","(0, 255, 0)"
64,A291,1,PINTOR BENEDITO,"[[-0.3815792958, 39.4655001451], [-0.3836747414, 39.4658776645]]","(0, 255, 0)"
65,A295,360,CLARIANO,"[[-0.35117656740000003, 39.4785606331], [-0.3511702693, 39.4786025244], [-0.35116584910000004, 39.4786445576], [-0.35116330840000004, 39.4786866876], [-0.35116266090000003, 39.4787288608], [-0.35116389670000003, 39.478771032], [-0.3511670182, 39.4788131379], [-0.35117202680000004, 39.4788551428], [-0.3511789135, 39.4788969743], [-0.3511876679, 39.4789386051], [-0.3511982806, 39.4789799719], [-0.3512107414, 39.4790210386], [-0.3512250183, 39.4790617323], [-0.3512411238, 39.4791020262], [-0.35125901400000004, 39.4791418562], [-0.3512786784, 39.4791811862], [-0.3513000961, 39.4792199616], [-0.3513232338, 39.4792581366], [-0.3513480701, 39.4792956656], [-0.3513745714, 39.4793325119], [-0.3514027053, 39.4793686116], [-0.35143243760000004, 39.4794039459], [-0.3514637359, 39.4794384511], [-0.3514965548, 39.4794720991], [-0.35153086110000004, 39.4795048441], [-0.3515666216, 39.4795366402], [-0.3516037678, 39.4795674589], [-0.35164228940000003, 39.479597264], [-0.3516821064, 39.4796260175], [-0.3517231973, 39.4796536739], [-0.3517654931, 39.4796802137], [-0.35180896, 39.479705609], [-0.3518535299, 39.4797298132], [-0.35189916920000003, 39.4797527986], [-0.3519457968, 39.4797745543], [-0.3519933679, 39.4797950342], [-0.35204183650000004, 39.4798142283], [-0.3520911339, 39.4798321079], [-0.352141203, 39.4798486448], [-0.3521919741, 39.4798638373], [-0.3522434022, 39.4798776484], [-0.3522954178, 39.4798900675], [-0.3523479517, 39.4799010841], [-0.35240095800000004, 39.479910679], [-0.3524543558, 39.4799188413], [-0.35250808710000003, 39.4799255699], [-0.3525620827, 39.479930845], [-0.3526162846, 39.4799346654], [-0.3526706348, 39.4799370297], [-0.3527250407, 39.4799379268], [-0.352779467, 39.479937365], [-0.3528338328, 39.4799353333], [-0.35288806780000004, 39.4799318482], [-0.35294212540000003, 39.4799269087], [-0.3529959244, 39.4799205128], [-0.353049406, 39.4799126773], [-0.3531025001, 39.4799034095], [-0.3531551484, 39.4798927172], [-0.3532072918, 39.479880626], [-0.3532588608, 39.4798671253], [-0.3533097837, 39.4798522676], [-0.35336002650000004, 39.4798360341], [-0.3534094947, 39.4798184586], [-0.35345816420000004, 39.4797995676], [-0.35350595300000004, 39.4797793774], [-0.3535528019, 39.4797579134], [-0.3535986631, 39.4797352108], [-0.3536434898, 39.4797112775], [-0.35368721070000003, 39.4796861568], [-0.3537297894, 39.4796598839], [-0.3537711557, 39.4796324754], [-0.35381127300000004, 39.4796039754], [-0.3538500938, 39.4795744098], [-0.3538875587, 39.4795438134], [-0.3539236423, 39.4795122396], [-0.353958286, 39.4794797051], [-0.3539914528, 39.4794462631], [-0.3540231065, 39.4794119488], [-0.35405319900000004, 39.4793768062], [-0.35408169370000003, 39.4793408795], [-0.354108578, 39.4793041954], [-0.35413379100000003, 39.4792668246], [-0.35415733180000003, 39.4792287941], [-0.3541791406, 39.4791901477], [-0.35419921530000004, 39.4791509392]]","(0, 255, 0)"
66,A30,2052,AUTOPISTA DEL SALER,"[[-0.3522608242, 39.4531945878], [-0.3425775551, 39.4452653421]]","(255, 0, 0)"
67,A303,648,"JESÚS,","[[-0.3882709143, 39.4595783046], [-0.3884347063, 39.4603715009], [-0.3867434936, 39.4623279576]]","(255, 165, 0)"
68,A305,252,IBIZA,"[[-0.3404345267, 39.4590864415], [-0.34010002640000003, 39.460367291], [-0.3393044803, 39.4612074436]]","(0, 255, 0)"
69,A374,1,BULEVAR SUR,"[[-0.3995723855, 39.4535322706], [-0.3947350295, 39.4498398327]]","(0, 255, 0)"
70,A407,727,AVDA. DEL LEVANTE U.D.(entre Av. de Ecuador y Juan XXIII),"[[-0.3938060742, 39.4928477708], [-0.3863592468, 39.4974788226]]","(255, 165, 0)"
71,A296,690,ACCESO BARCELONA RAMAL DE ENTRADA [De V-21 a Rotonda],"[[-0.3492137091, 39.4828286758], [-0.3504649829, 39.4825381238], [-0.3513195458, 39.4822649208], [-0.35133887610000003, 39.4822588661], [-0.3513579356, 39.4822522918], [-0.3513766776, 39.4822451967], [-0.3513951013, 39.4822376078], [-0.3514131601, 39.4822295242], [-0.351430842, 39.4822209545], [-0.3514481352, 39.4822119075], [-0.3514650157, 39.4822024007], [-0.35148144800000003, 39.4821924512], [-0.3514974205, 39.4821820588], [-0.3515129212, 39.4821712322], [-0.3515279254, 39.482160007], [-0.3515424104, 39.4821483735], [-0.3515563632, 39.4821363676], [-0.3515697608, 39.4821239796], [-0.35158260220000004, 39.4821112366], [-0.3515948635, 39.4820981561], [-0.3516065208, 39.4820847555], [-0.3516175738, 39.4820710439], [-0.3516279986, 39.4820570386], [-0.3516377824, 39.4820427665], [-0.35164691340000004, 39.4820282363], [-0.35165540240000004, 39.4820134663], [-0.3516632024, 39.4819984733], [-0.3516703356, 39.481983285], [-0.35167676670000003, 39.4819679095], [-0.3516825183, 39.4819523654], [-0.3516875545, 39.4819366788], [-0.35169188630000003, 39.4819208681], [-0.3516955013, 39.4819049509], [-0.3516983993, 39.4818889363], [-0.3517005673, 39.4818728601], [-0.3517020161, 39.4818567404], [-0.3517027338, 39.4818405861], [-0.3517027314, 39.4818244153], [-0.3517019958, 39.4818082639], [-0.3517005268, 39.4817921408], [-0.3516983352, 39.4817760643], [-0.35169543210000004, 39.4817600526], [-0.3516918047, 39.4817441326], [-0.35168745230000004, 39.4817283221], [-0.35168239760000003, 39.4817126398], [-0.35167663990000003, 39.4816971036], [-0.3516701899, 39.4816817318], [-0.3516630469, 39.4816665515], [-0.3516552223, 39.4816515627], [-0.3516467264, 39.481636802], [-0.35163757090000003, 39.4816222694], [-0.3516277775, 39.4816080015], [-0.35161733440000004, 39.4815940072], [-0.3516062756, 39.4815803051], [-0.351594601, 39.4815669042], [-0.35158233250000004, 39.4815538322], [-0.3515694817, 39.4815410982], [-0.3515560709, 39.4815287208], [-0.3515420998, 39.481516709], [-0.3515276023, 39.4815050906], [-0.35151259, 39.4814938659], [-0.3514970854, 39.4814830534], [-0.3514810995, 39.4814726713], [-0.3514646551, 39.4814627292], [-0.3514477755, 39.4814532276], [-0.35143047120000004, 39.4814441938], [-0.3514127768, 39.4814356376], [-0.3513947039, 39.4814275592], [-0.35137628670000004, 39.4814199774], [-0.35135752470000003, 39.4814129013], [-0.3513384646, 39.4814063319], [-0.35131912870000004, 39.4814002877], [-0.3512995171, 39.4813947688], [-0.3512796764, 39.4813897761], [-0.3512596169, 39.481385337], [-0.3512393744, 39.4813814342], [-0.3512189717, 39.4813780773], [-0.3511984312, 39.4813752849], [-0.351177777, 39.4813730393], [-0.3511570316, 39.4813713593], [-0.3511362182, 39.4813702452], [-0.3511153721, 39.4813696889], [-0.3510945163, 39.4813696909], [-0.3510736735, 39.4813702698], [-0.35105286760000004, 39.4813714081], [-0.3510321219, 39.4813731063], [-0.3510114595, 39.4813753649], [-0.3509208254, 39.4813782175], [-0.35083010600000003, 39.4813787258], [-0.35073941740000003, 39.4813768924], [-0.350648876, 39.4813727111], [-0.3505585516, 39.4813661834], [-0.3504685597, 39.4813573298], [-0.35037900510000003, 39.481346144], [-0.3502899678, 39.4813326636]]","(255, 165, 0)"
72,A360,2300,AVENIDA LOS NARANJOS,"[[-0.3452837016, 39.4798705196], [-0.33334878230000003, 39.4763836862]]","(255, 0, 0)"
73,A361,848,TRES FORQUES,"[[-0.4165163429, 39.4631369568], [-0.40567216440000003, 39.4635758106]]","(255, 165, 0)"
74,A362,868,GENERAL AVILÉS,"[[-0.3960877914, 39.4858276211], [-0.4017742024, 39.4833800084]]","(255, 165, 0)"
75,A363,1584,GENERAL AVILES,"[[-0.40721256180000004, 39.4811319968], [-0.4017742024, 39.4833800084]]","(255, 165, 0)"
76,A364,756,PIO BAROJA,"[[-0.4065850798, 39.4777683863], [-0.40721256180000004, 39.4811319968]]","(255, 165, 0)"
77,A365,1818,MAESTRO RODRIGO,"[[-0.4017742024, 39.4833800084], [-0.4051812135, 39.4879905999]]","(255, 165, 0)"
78,A367,1,JUAN XXIII,"[[-0.3821434734, 39.4902520717], [-0.3829888844, 39.4925735436], [-0.384072719, 39.4956047915], [-0.3848689916, 39.4978301724]]","(0, 255, 0)"
79,A369,1,PASEO ALAMEDA,"[[-0.357084265, 39.46135921], [-0.3565291558, 39.4609380005], [-0.3556925448, 39.4605451847], [-0.35359942, 39.4599808332]]","(0, 255, 0)"
80,A37,144,AVENIDA BURJASSOT,"[[-0.3989751613, 39.4979266418], [-0.401271653, 39.500182723500004]]","(0, 255, 0)"
81,A371,2524,BULEVAR SUR,"[[-0.3864004317, 39.4463699911], [-0.3803303785, 39.4457576365]]","(255, 0, 0)"
82,A372,2175,BULEVAR SUR,"[[-0.3803303785, 39.4457576365], [-0.37238546170000003, 39.4449689227], [-0.3723346992, 39.4449645499], [-0.3722837821, 39.4449615069], [-0.3722327452, 39.4449597946], [-0.3721816811, 39.4449594238], [-0.3721306137, 39.4449603773], [-0.3720796239, 39.4449626659], [-0.3720287701, 39.4449662817], [-0.371978087, 39.4449712257], [-0.3719276568, 39.4449774817], [-0.3718775253, 39.4449850597], [-0.3718277514, 39.4449939431], [-0.3717783939, 39.445004115], [-0.3717294993, 39.4450155677], [-0.3716811378, 39.4450282937], [-0.3716333569, 39.4450422669], [-0.3715862028, 39.4450574886], [-0.3715397348, 39.4450739329], [-0.3714940118, 39.4450915741], [-0.37144908060000004, 39.4451104045], [-0.3714049887, 39.4451303979], [-0.3688854723, 39.4461937452]]","(255, 0, 0)"
83,A373,6516,ACCESO SUR (N-332),"[[-0.37057731650000003, 39.430430916], [-0.3702534798, 39.4368725729], [-0.36892175800000004, 39.4454665191], [-0.368902369, 39.4456114464], [-0.3688890295, 39.44575679], [-0.3688817689, 39.4459023883], [-0.3688805813, 39.446048088], [-0.3688854723, 39.4461937452]]","(255, 0, 0)"
84,A409,1,CAMINO DE LAS MORERAS (Entre Autopista del Saler y Paso elevado ferrocarril),"[[-0.3429291647, 39.4512522539], [-0.3457360252, 39.4517473694], [-0.3481288409, 39.4523004737], [-0.3522608242, 39.4531945878]]","(0, 255, 0)"
85,A411,2736,MENORCA Entre prolongación alameda y Av. Francia,"[[-0.34785339590000003, 39.4559830305], [-0.3438202247, 39.4585580142]]","(255, 0, 0)"
86,A412,3276,PONT DE L'' ASSUT DE L'' OR Entre Menorca y Autopista del Saler,"[[-0.3522608242, 39.4531945878], [-0.34785339590000003, 39.4559830305]]","(255, 0, 0)"
87,A414,1585,INGENIERO FAUSTO ELIO Entre Av de los Naranjos y C/ Mendizábal,"[[-0.33334878230000003, 39.4763836862], [-0.33253186360000003, 39.4806048033], [-0.3316441207, 39.4843414355]]","(255, 165, 0)"
88,A53,1140,BOTANICO CABANILLES,"[[-0.3663542562, 39.4794191583], [-0.3638111885, 39.4845869293]]","(255, 165, 0)"
89,A54,229,BRASIL,"[[-0.4016374829, 39.4728777182], [-0.3943546656, 39.4705281398], [-0.3930107869, 39.4711096541]]","(0, 255, 0)"
90,A55,180,CADIZ,"[[-0.3714516625, 39.4587402202], [-0.375339544, 39.4642760102]]","(0, 255, 0)"
91,A56,762,"C.MONCADA, P.ALEIX. A H.MACHA.","[[-0.3784795429, 39.4910601102], [-0.3800546068, 39.4937690612], [-0.3803230715, 39.4948649687], [-0.3814738815, 39.4976000723]]","(255, 165, 0)"
92,A58,3434,CAMINO NUEVO DE PICANYA,"[[-0.4052668338, 39.4554937867], [-0.40246532560000003, 39.4581121973]]","(255, 0, 0)"
93,A59,4140,CAMINO NUEVO DE PICANYA,"[[-0.4089990973, 39.4528535], [-0.40503873690000003, 39.4556795737]]","(255, 0, 0)"
94,A60,1338,"CAMP DE TURIA, EL","[[-0.4024722298, 39.494768561], [-0.4079353717, 39.4923709594]]","(255, 165, 0)"
95,A61,684,"CAMPANAR, AVENIDA","[[-0.389510909, 39.4886268672], [-0.3929441698, 39.4814242683]]","(255, 165, 0)"
96,A62,1164,"CAMPANAR, AVENIDA","[[-0.3929441698, 39.4814242683], [-0.3948741854, 39.4773745703]]","(255, 165, 0)"
97,A64,1976,CARDENAL BENLLOCH,"[[-0.3565358155, 39.4670403553], [-0.3543783854, 39.4714782665]]","(255, 165, 0)"
98,A65,1388,CARDENAL BENLLOCH,"[[-0.3543783854, 39.4714782665], [-0.3524861392, 39.4753701623]]","(255, 165, 0)"
99,A80,1188,"CONSTITUCION, AVENIDA","[[-0.3739144, 39.4920667065], [-0.3727997297, 39.4941697751], [-0.3721547718, 39.4945715122], [-0.3716396551, 39.4951962307], [-0.3704688505, 39.4976730484]]","(255, 165, 0)"
100,A82,4920,CORTES VALENCIANAS,"[[-0.3992560546, 39.4902648465], [-0.4024722298, 39.494768561]]","(255, 0, 0)"
101,A83,324,CUENCA,"[[-0.38416196220000004, 39.4691495967], [-0.3834140196, 39.4703918387]]","(0, 255, 0)"
102,A84,216,CUENCA,"[[-0.3882403594, 39.4642791881], [-0.3908758191, 39.4611463781], [-0.39196005710000004, 39.4601538785]]","(0, 255, 0)"
103,A85,406,CUENCA,"[[-0.37121024300000005, 39.4808438905], [-0.3733333283, 39.4815795497]]","(0, 255, 0)"
104,A85,406,CUENCA,"[[-0.38646040330000003, 39.4664049108], [-0.3882113686, 39.4643849488]]","(0, 255, 0)"
105,A94,675,DOCTOR MOLINER,"[[-0.364690726, 39.4737413393], [-0.3638178964, 39.4741745756], [-0.36312712680000003, 39.4756061987], [-0.36191286770000003, 39.4781226525]]","(255, 165, 0)"
106,A95,3288,DOCTOR PESET ALEIXANDRE,"[[-0.382231812, 39.490232594], [-0.389510909, 39.4886268672]]","(255, 0, 0)"
107,A96,2671,DOCTOR PESET ALEIXANDRE,"[[-0.3739144, 39.4920667065], [-0.3784795429, 39.4910601102]]","(255, 0, 0)"
108,A97,2664,DOCTOR PESET ALEIXANDRE,"[[-0.3784795429, 39.4910601102], [-0.382231812, 39.490232594]]","(255, 0, 0)"
109,A117,3346,GRAN VIA FERNANDO EL CATOLICO,"[[-0.3850318051, 39.4703385614], [-0.3901137749, 39.4774591638]]","(255, 0, 0)"
110,B31,240,DELS PORTS,"[[-0.4023260289, 39.4948324532], [-0.4026463106, 39.4954438245], [-0.40268539210000004, 39.4955221738], [-0.4027210659, 39.495601483], [-0.4027533119, 39.4956816704], [-0.40278208670000004, 39.4957626451], [-0.4028073587, 39.4958443252], [-0.40282908500000003, 39.4959266108], [-0.402838527, 39.4959696947], [-0.40284607650000004, 39.4960130156], [-0.402851713, 39.496056501], [-0.40285543770000004, 39.4961001148], [-0.4028572527, 39.496143803], [-0.40285714840000003, 39.4961875114], [-0.402855138, 39.4962311952], [-0.4028512003, 39.4962747998], [-0.402845349, 39.4963182716], [-0.40283760890000003, 39.4963615661], [-0.4028279589, 39.4964046287], [-0.4028164354, 39.4964474152], [-0.4028030405, 39.4964898715], [-0.4027877875, 39.496531953], [-0.4027707012, 39.4965736152], [-0.402751784, 39.496614795], [-0.4027310838, 39.4966554574], [-0.40270861410000003, 39.4966955488], [-0.4026843882, 39.4967350244], [-0.4026584543, 39.4967738401], [-0.4026308373, 39.4968119516], [-0.4026015505, 39.4968493141], [-0.4025706537, 39.4968858838], [-0.4025381717, 39.4969216163], [-0.4025041291, 39.4969564761], [-0.4024685858, 39.4969904194], [-0.40243157820000003, 39.4970234021], [-0.40239313060000004, 39.4970553977], [-0.40235331430000004, 39.4970863626], [-0.4023121544, 39.4971162525], [-0.4022697214, 39.4971450419]]","(0, 255, 0)"
111,B32,30,DOCTOR PÉREZ FELIU,"[[-0.4022163038, 39.4604825346], [-0.403583324, 39.460136801]]","(0, 255, 0)"
112,B34,144,DUQUE DE CALABRIA,"[[-0.36524667180000003, 39.4613583887], [-0.3667056896, 39.4634648307]]","(0, 255, 0)"
113,B37,252,ERUDITO ORELLANA,"[[-0.3875000129, 39.4707289589], [-0.38611768430000004, 39.4718601556]]","(0, 255, 0)"
114,B38,158,ESCULTOL ALFONSO GABINO,"[[-0.3450571709, 39.4741646642], [-0.3474409511, 39.4748490386]]","(0, 255, 0)"
115,B4,144,ALMIRANTE CADARSO,"[[-0.370114106, 39.466480923], [-0.3682925738, 39.4638120213]]","(0, 255, 0)"
116,B40,108,EXPLORADOR ANDRÉS,"[[-0.3466606862, 39.4720549352], [-0.3483964585, 39.4725556227]]","(0, 255, 0)"
117,B41,265,FÉLIX PIZCUETA,"[[-0.372909792, 39.4667036918], [-0.3721625045, 39.4656166325]]","(0, 255, 0)"
118,B44,390,FRAY JUNÍPERO SERRA,"[[-0.4007718829, 39.4628933383], [-0.400855365, 39.4637704322]]","(0, 255, 0)"
119,B49,167,GRABADOR ENGUIDANOS,"[[-0.3967299423, 39.4796976224], [-0.3974479195, 39.4806470358]]","(0, 255, 0)"
120,B51,252,GREGORIO MAYANS,"[[-0.3721625045, 39.4656166325], [-0.3713334455, 39.4644772697]]","(0, 255, 0)"
121,B52,36,HABANA,"[[-0.4080713808, 39.4649099782], [-0.4058366228, 39.4650620313]]","(0, 255, 0)"
122,B53,36,HERMANOS VILLALONGA,"[[-0.35732779530000003, 39.4845130189], [-0.3577679814, 39.4834563295]]","(0, 255, 0)"
123,B54,1,HISTORIADOR COLOMA,"[[-0.3247624288, 39.4703713068], [-0.325591735, 39.4703688016]]","(0, 255, 0)"
124,B55,180,L'' HORTA SUD,"[[-0.40092538380000003, 39.4926025421], [-0.3984980705, 39.4936486831]]","(0, 255, 0)"
125,A118,2610,GERMANÍAS,"[[-0.37378628620000004, 39.4649314539], [-0.3776901512, 39.4632840158], [-0.37775168540000004, 39.463259098500004], [-0.3778142856, 39.4632358178], [-0.3778778692, 39.4632141989], [-0.3779423767, 39.4631942854], [-0.37800771440000003, 39.4631760933]]","(255, 0, 0)"
126,A119,954,TÚNEL DE LAS GRANDES VÍAS,"[[-0.3804414595, 39.4639054027], [-0.3804061103, 39.4638578412], [-0.3803686444, 39.46381125], [-0.3803291171, 39.4637657023], [-0.3802875496, 39.4637212527], [-0.3802440212, 39.4636779571], [-0.38019857690000003, 39.4636358526], [-0.3801512609, 39.463595003], [-0.3801021412, 39.4635554551], [-0.3800512737, 39.4635172642], [-0.3799987152, 39.4634804675], [-0.3799445457, 39.4634451028], [-0.3798888208, 39.4634112346], [-0.37983159790000004, 39.4633788822], [-0.3797729562, 39.4633481012], [-0.3797129765, 39.4633189117], [-0.37965171470000003, 39.4632913688], [-0.3795892514, 39.4632654925], [-0.3795256665, 39.4632413206], [-0.3794610404, 39.4632188818], [-0.3793954304, 39.4631981956], [-0.37932894, 39.4631792913], [-0.3792616495, 39.4631621976], [-0.3791936162, 39.463146934], [-0.3791249444, 39.4631335117], [-0.3790557142, 39.4631219597], [-0.37898599580000003, 39.4631122704], [-0.3789158922, 39.4631044823], [-0.3788454854, 39.4630985792], [-0.3787748557, 39.4630945898], [-0.3787040847, 39.4630925071], [-0.3786332653, 39.4630923331], [-0.3785624785, 39.4630940787], [-0.3784918177, 39.463097728], [-0.3784213528, 39.4631032824], [-0.37835118840000004, 39.4631107355], [-0.37828140590000003, 39.463120089], [-0.37821207640000004, 39.4631313085], [-0.37814330430000004, 39.4631443963], [-0.3780751483, 39.4631593358], [-0.37800771440000003, 39.4631760933]]","(255, 165, 0)"
127,A12,972,"ALAMEDA, PROLONGACION","[[-0.3584211087, 39.4637869036], [-0.357084265, 39.46135921]]","(255, 165, 0)"
128,A120,1,GRAN VIA MARQUES DEL TURIA,"[[-0.36959458440000004, 39.4667001236], [-0.37378628620000004, 39.4649314539]]","(0, 255, 0)"
129,A121,4285,GRAN VIA MARQUES DEL TURIA,"[[-0.3641680839, 39.4689894357], [-0.36959458440000004, 39.4667001236]]","(255, 0, 0)"
130,A129,1710,HERMANOS MARISTAS,"[[-0.3710122887, 39.4501860662], [-0.3643379295, 39.4530026014]]","(255, 165, 0)"
131,A13,393,ALBORAIA,"[[-0.3689679883, 39.4851159754], [-0.36773384940000003, 39.4874913113]]","(0, 255, 0)"
132,A130,144,HERNAN CORTES,"[[-0.3718818869, 39.4691837964], [-0.3700134097, 39.4665234089]]","(0, 255, 0)"
133,A131,151,ISABEL DE VILLENA,"[[-0.3257940442, 39.479084647], [-0.3257566114, 39.4747744293], [-0.32562781900000004, 39.4745240858], [-0.325604581, 39.471847456], [-0.3255713549, 39.4680233608], [-0.3251811468, 39.467415777]]","(0, 255, 0)"
134,A133,453,ISLAS CANARIAS,"[[-0.3358630939, 39.461001049000004], [-0.34104383800000004, 39.4613546636], [-0.342178519, 39.4617033218], [-0.3450005371, 39.4629849553], [-0.34637617940000004, 39.4635352073], [-0.35147659000000003, 39.4650250974]]","(0, 255, 0)"
135,A134,1,ISLAS CANARIAS,"[[-0.35147659000000003, 39.4650250974], [-0.353895506, 39.4657315879], [-0.3568938727, 39.4663037351], [-0.3603990018, 39.4673784393]]","(0, 255, 0)"
136,A135,1306,J.J. DOMINE,"[[-0.3327251029, 39.4600839244], [-0.3296835905, 39.4624936272]]","(255, 165, 0)"
137,A174,1296,PASEO CIUDADELA,"[[-0.3694668888, 39.475740208], [-0.368750114, 39.4750386013], [-0.3668345369, 39.4726755588]]","(255, 165, 0)"
138,A175,1620,PASEO PECHINA,"[[-0.3901137749, 39.4774591638], [-0.3876818638, 39.4781479623], [-0.3836318309, 39.479964396], [-0.3829174152, 39.4804224864]]","(255, 165, 0)"
139,A176,897,PASEO PECHINA,"[[-0.4056095206, 39.4730414329], [-0.4055908134, 39.473043736], [-0.4055722054, 39.4730465007], [-0.4055537309, 39.4730497368], [-0.3967284569, 39.4747130017], [-0.3958551967, 39.4750944365]]","(255, 165, 0)"
140,A177,1311,PASEO PECHINA,"[[-0.3958551967, 39.4750944365], [-0.39112738680000003, 39.4771593817], [-0.3910941412, 39.4771733558], [-0.39106032290000003, 39.4771864791], [-0.3910259786, 39.4771987438], [-0.3909911321, 39.4772101413], [-0.3909558187, 39.4772206545], [-0.3901137749, 39.4774591638]]","(255, 165, 0)"
141,A178,347,PAVIA,"[[-0.3247749439, 39.4718129457], [-0.324827158, 39.4778344496], [-0.32485378060000003, 39.4790895621]]","(0, 255, 0)"
142,A179,127,PAVIA,"[[-0.3251811468, 39.467415777], [-0.3247441821, 39.4682666466], [-0.3247749439, 39.4718129457]]","(0, 255, 0)"
143,A18,2142,ANGEL GUIMERA,"[[-0.39152828910000004, 39.4690326109], [-0.3850318051, 39.4703385614]]","(255, 0, 0)"
144,A181,1,PAZ,"[[-0.3700496485, 39.4726968982], [-0.3742130222, 39.4735374603]]","(0, 255, 0)"
145,A182,1200,PEDRAPIQUERS,"[[-0.4075123319, 39.4593640296], [-0.4051819633, 39.4555773679]]","(255, 165, 0)"
146,A183,432,PEDRO ALEIXANDRE,"[[-0.3650739991, 39.4614312289], [-0.3612067101, 39.4595738153], [-0.3586241177, 39.4593599983]]","(0, 255, 0)"
147,A184,1,PEREZ GALDOS,"[[-0.39152828910000004, 39.4690326109], [-0.3958551967, 39.4750944365]]","(0, 255, 0)"
148,A185,1,PEREZ GALDOS,"[[-0.39152828910000004, 39.4690326109], [-0.3882113686, 39.4643849488]]","(0, 255, 0)"
149,A186,1,PEREZ GALDOS,"[[-0.3867434936, 39.4623279576], [-0.3882113686, 39.4643849488]]","(0, 255, 0)"
150,A187,2547,PERIS Y VALERO,"[[-0.37574658050000004, 39.4569276904], [-0.3708736662, 39.4589841223]]","(255, 0, 0)"
151,A188,1926,PERIS Y VALERO,"[[-0.3655394629, 39.4612348582], [-0.36086970700000004, 39.463204911]]","(255, 165, 0)"
152,A194,3756,PIO XII,"[[-0.39115091150000003, 39.4789121501], [-0.3929441698, 39.4814242683]]","(255, 0, 0)"
153,A195,1284,"PLATA, AVENIDA DE LA","[[-0.3582493176, 39.4587951238], [-0.36325861540000004, 39.4566818262]]","(255, 165, 0)"
154,A205,1098,"PUERTO, AVENIDA DEL","[[-0.35128015, 39.4655053912], [-0.3565358155, 39.4670403553]]","(255, 165, 0)"
155,A210,792,QUEVEDO,"[[-0.3812294745, 39.4687058307], [-0.3806826052, 39.4693445905], [-0.3796618399, 39.4707968332]]","(255, 165, 0)"
156,A211,1793,RAMON LLULL,"[[-0.3467291857, 39.4765059393], [-0.3478044521, 39.4740028283]]","(255, 165, 0)"
157,A212,1,RAMON LLULL,"[[-0.3452837016, 39.4798705196], [-0.3467291857, 39.4765059393]]","(0, 255, 0)"
